## Sus Cup 1 — G1 Tokyo Yushun (Japanese Derby)

**Date:** 2025-08-11
**Race time:** 19:06
**Room ID:** 1662 1798
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Sunny
**Ground:** Firm
**Condition:** Firm
**Mood:** Great
**Season:** Spring
**Rank limit:** A Rank Max

| Pos | Uma                               | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
|   8 | Jewel Coral    | NPC         |  10 | C+   | —               | Late  | 6 L        |  13 |
|   9 | T.M. Opera O   | Jiinxye     |   9 | A    | Undefeated      | Pace  | Head       |   4 |
|  10 | Duo Targe      | NPC         |   8 | B    | —               | Pace  | 3 L        |  14 |
|  11 | Unknown NPC 1  | NPC         |   2 | B    | —               | Pace  | —          |   — |
|  12 | Unknown NPC 2  | NPC         |   — | —    | —               | —     | —          |   — |
|  13 | Unknown NPC 3  | NPC         |   — | —    | —               | —     | —          |   — |
|  14 | Mejiro McQueen | Ananth      |   1 | B+   | The GOAT        | Pace  | Nose       |   9 |
|  15 | Mini Cactus    | NPC         |   6 | C+   | —               | Pace  | 1 1/2 L    |  15 |
|  16 | Super Creek    | GohanXGAMER |   5 | B    | G1 Winner       | Pace  | 4 L        |  17 |
|  17 | Oguri Cap      | GohanXGAMER |  14 | A    | Finals Champion | Pace  | 2 1/2 L    |  10 |
|  18 | Curren Chan    | Ananth      |  16 | B+   | Finals Champion | Pace  | Distance   |  18 |



## Sus Cup 10 — Tokyo Yushun (Japanese Derby)

**Date:** 2025-09-19
**Race time:** 19:01
**Room ID:** 5332 5040
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Random
**Ground:** Firm
**Mood:** Random
**Rank limit:** Rank Max
**Special rule:** None

| Pos | Uma              | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
| --: | ---------------- | ----------- | --: | ---- | ----------------- | ----- | ---------- | --: |
|   1 | Grass Wonder     | agnes       |   1 | A    | Steamy Solidarity | Late  | **2:20.8** |   4 |
|   2 | Symboli Rudolf   | Cyciesta    |   6 | A    | Emperor           | End   | 3/4 L      |   9 |
|   3 | Oguri Cap        | GohanXGAMER |  17 | A    | Ideal Idol        | Pace  | 3/4 L      |   7 |
|   4 | Agnes Tachyon    | Cruzi       |  10 | A    | Finals Champion   | Pace  | 3 L        |   3 |
|   5 | Narita Taishin   | Cyciesta    |   4 | A    | The GOAT          | End   | 4 L        |   1 |
|   6 | Seiun Sky        | Cruzi       |  14 | A    | Finals Champion   | Front | 1 1/2 L    |   8 |
|   7 | El Condor Pasa   | agnes       |   9 | A    | Finals Champion   | Late  | 2 1/2 L    |   2 |
|   8 | Zipangu Applause | NPC         |   3 | B    | —                 | Front | 1 1/4 L    |  12 |
|   9 | T.M. Opera O     | Jiinxye     |  16 | A    | Finals Champion   | Pace  | 1 L        |   5 |
|  10 | Bridge Comp      | NPC         |   5 | B    | —                 | Late  | 1 1/4 L    |  16 |
|  11 | Tokai Teio       | Jiinxye     |  11 | A    | Monarch           | Pace  | 3/4 L      |   6 |
|  12 | Harp Rhythm      | NPC         |  13 | B    | —                 | Late  | Neck       |  11 |
|  13 | Super Creek      | GohanXGAMER |   2 | B+   | Double Crown      | Pace  | 1 L        |  15 |
|  14 | Lime Chouchou    | NPC         |   8 | C+   | —                 | Pace  | 3 1/2 L    |  13 |
|  15 | Girly Smile      | NPC         |  15 | B    | —                 | End   | Nose       |  14 |
|  16 | Tetrabiblos      | NPC         |  18 | B    | —                 | Pace  | 3 1/2 L    |  17 |
|  17 | Mejiro McQueen   | Ananth      |   7 | B+   | The GOAT          | Pace  | 3 L        |  10 |
|  18 | Curren Chan      | Ananth      |  12 | B+   | Finals Champion   | Late  | Distance   |  18 |
